,uu,x,y
ABalppppaa,347.7759316,-105.1511553,34.60981145
ABalppppap,285.3876573,-84.4635056,33.43849565
ABalppppp,177.3827962,-39.8321061,40.01799035
ABalpppppa,231.742611,-67.0897815,30.66559445
ABalpppppp,152.4087515,-38.2901337,29.78921675
ABar,300.7268941,-67.5987136,67.77583525
ABara,261.2546942,-55.42652,61.99579415
ABaraa,338.9182959,-90.0234986,59.44820765
ABaraaa,414.7545334,-115.731855,63.52591435
ABaraaaa,462.5584346,-134.4215644,60.07956745
ABaraaaaa,514.6856157,-153.5874485,57.01760435
ABaraaaaaa,519.704412,-156.2432292,54.35221195
ABaraaaaap,471.662397,-137.3639895,60.59367735
ABaraaaap,443.0793187,-128.8985549,57.24041085
ABaraaaapa,491.4271011,-145.4596677,57.53791165
ABaraaap,374.0448515,-99.03888,66.08404915
ABaraaapa,436.4992375,-124.7870834,61.09884995
ABaraaapaa,473.0928621,-139.5455205,56.60774235
ABaraaapap,394.7993183,-112.1111188,56.77742055
ABaraaapp,365.4548353,-96.7459434,64.59411535
ABaraaappa,420.4122565,-118.2396335,62.67016955
ABaraaappp,362.4920431,-95.2206289,65.16658755
ABaraap,285.8010053,-72.606065,54.81330125
ABaraapa,365.8269741,-102.0305333,56.12059295
ABaraapaa,422.6868568,-124.8138855,50.23902935
ABaraapaaa,455.9678948,-135.9786231,50.74612425
ABaraapaap,383.6929297,-111.4300258,49.99880785
ABaraapap,331.2939106,-92.7522904,50.17554705
ABaraapapa,328.5461879,-93.309913,47.22427225
ABaraapapp,263.374148,-68.2686141,48.65835655
ABaraapp,244.6674567,-55.946627,54.17822695
ABaraappa,315.0586191,-83.872049,54.98014175
ABaraappaa,422.1124944,-120.819172,58.78801405
ABaraappap,347.4599995,-94.2894543,57.80872245
ABaraappp,230.119166,-48.7962026,54.62944925
ABaraapppa,290.1951607,-71.7527257,58.17328105
ABaraapppp,232.6988754,-44.6910013,59.06887105
ABarap,229.5949676,-31.9488964,65.72897085
ABarapa,293.2946992,-61.3710531,70.35213195
ABarapaa,325.431814,-77.3485659,68.90360665
ABarapaaa,369.1517905,-102.2177223,57.95587465
ABarapaaaa,349.2401203,-96.5462081,55.10752095
ABarapaaap,295.3956355,-76.227671,55.04984045
ABarapaap,300.893081,-75.8154626,58.52602655
ABarapaapa,337.4789621,-91.4588809,56.34669825
ABarapaapp,274.339872,-67.089128,55.89920255
ABarapap,240.2952329,-36.9998855,66.94382635
ABarapapa,255.6800873,-53.9395045,60.94365745
ABarapapaa,264.7568664,-62.0039687,57.07659455
ABarapapap,205.4410846,-35.6836792,54.80000815
ABarapapp,199.6027044,-23.5649237,59.00386365
ABarapappa,229.587889,-46.7769137,56.14820215
ABarapappp,182.6121201,-16.2046575,55.82280425
ABarapp,197.3098817,-9.3434343,62.10679855
ABarappa,223.7789042,-18.5851951,68.76373485
ABarappaa,270.5701814,-56.1416491,65.31201305
ABarappaaa,280.4167913,-61.4475075,64.74141565
ABarappaap,228.9559383,-35.1346038,63.85060155
ABarappap,218.4018108,-22.5050194,65.77597435
ABarappapa,239.7050134,-32.2141865,69.16652915
ABarappapp,211.5263924,-2.4403538,67.28670305
ABarappp,213.9157301,13.0175108,66.83558675
ABarapppa,273.6340604,-51.872634,69.96938015
ABarapppaa,352.5361248,-88.117003,69.48211775
ABarapppap,294.9270545,-63.7856323,68.88039645
ABarapppp,232.3772332,-19.9581955,71.22451205
ABarappppa,285.6480626,-55.2425398,72.21873095
ABarappppp,253.2762269,-29.3300544,75.09583895
ABarp,249.2786419,-21.784486,76.29887575
ABarpa,298.4902281,-55.9442415,76.79580845
ABarpaa,359.2314486,-85.6103972,75.80289145
ABarpaaa,394.7836493,-102.3295589,72.93823605
ABarpaaaa,426.5958006,-122.0460487,59.52809385
ABarpaaaaa,470.4506764,-136.9522012,60.57134565
ABarpaaaap,402.1851263,-115.6246761,54.95386345
ABarpaaap,352.4362756,-94.0439167,61.16355565
ABarpaaapa,386.041635,-106.4258348,61.42678265
ABarpaap,306.89644,-63.0852835,74.58703465
ABarpaapa,287.6486295,-66.2620192,63.18888545
ABarpaapp,211.532707,-18.8955749,64.62726715
ABarpap,248.1363936,-41.368409,67.28424185
ABarpapa,294.6826708,-60.8846294,71.35529645
ABarpapaa,379.3355915,-97.1043806,71.76629245
ABarpapaaa,434.7780072,-118.4055587,71.64538435
ABarpapaap,368.1881459,-91.401847,73.35568425
ABarpapap,304.1827279,-64.157346,72.51753915
ABarpapp,228.4613539,-15.6062896,71.02718765
ABarpappa,273.7206495,-42.3118943,76.16423065
ABarpappp,239.3331041,-10.7254698,75.42330945
ABarpapppp,265.474205,3.2906219,84.43896985
ABarpp,249.1688365,19.9065054,76.77413485
ABarppa,255.489433,-25.4741015,77.23208695
ABarppaa,240.3906822,-28.3812251,71.06069385
ABarppaaa,174.8105314,-8.2723149,55.02558205
ABarppaaap,165.9639941,25.6135069,46.20328715
ABarppaap,186.6987628,27.7036411,52.57568655
ABarppaapp,264.0675863,72.5476909,42.45150085
ABarppap,206.4731393,11.5350335,64.70225895
ABarppapa,222.0884451,52.8465975,46.95455235
ABarppapaa,181.2660831,46.1610392,34.61659135
ABarppapap,277.5336008,81.9583528,32.97093265
ABarppapp,339.2991498,97.8467764,45.72198035
ABarppappa,363.7258518,109.7708342,36.80762765
ABarppappp,476.7388135,146.9593386,37.83148035
ABarppp,252.1157438,27.7179171,75.31221305
ABarpppa,237.8266148,22.0362947,72.42430335
ABarpppaa,225.595646,9.7124345,71.14947425
ABarpppaap,265.5314931,28.9143255,79.42173395
ABarpppap,257.7338183,42.5539717,70.13981395
ABarpppapp,327.028992,72.7699157,74.43543125
ABarpppp,301.7127015,67.2335013,68.57827505
ABarppppa,312.8346357,68.4310354,72.33977215
ABarppppaa,299.9348026,50.4950672,81.02587005
ABarppppap,369.5236288,85.0466648,81.25417305
ABarppppp,407.4617743,109.2999671,69.82389695
ABarpppppa,426.5886347,112.5803149,75.92025555
ABarpppppp,523.4094887,151.0471927,70.30251075
ABp,210.3363272,8.8412422,66.36580795
ABpl,173.3036563,1.1968107,55.15128295
ABpla,283.1202848,-69.5476707,57.31259295
ABplaa,350.112787,-94.7666155,58.64413245
ABplaaa,399.7017418,-111.05904,62.07344145
ABplaaaa,450.9572378,-131.8883076,56.66036065
ABplaaaaa,410.5057375,-121.4548103,48.19610275
ABplaaaaaa,414.1796072,-123.2779117,46.72979035
ABplaaaaap,336.8055694,-96.6031879,46.49188815
ABplaaaap,329.4347105,-92.004235,50.31230455
ABplaaap,332.3654478,-87.4382088,59.55825425
ABplaaapa,259.873711,-66.3981514,49.33503145
ABplaaapp,182.958431,-32.5262522,48.30783255
ABplaaappp,122.9208175,-0.3898951,39.12496875
ABplaap,287.6244697,-76.5615482,50.20370065
ABplaapa,356.7731818,-103.6894743,46.31817015
ABplaapaa,322.6888849,-94.8207767,39.48929365
