,x,y,u
ABprapap,89.6934538,78.96564795,119.5863666
ABprapapa,103.5636503,77.68210055,129.5388688
ABprapapaa,124.4832966,73.17177825,144.4668159
ABprapapp,137.9998998,71.51582745,155.4921337
ABprapappp,167.1086841,65.40102415,179.4981931
ABprapp,112.971013,72.43998065,134.2678462
ABprappa,112.4824922,75.41451185,135.4856256
ABprappaa,86.1144775,78.05411365,116.29351
ABprappap,120.5074654,74.12637375,141.5387807
ABprappapa,105.1735918,78.48881485,131.3042568
ABprappp,142.1049822,67.68834245,157.463034
ABprapppa,134.0864101,71.02031805,151.7855171
ABprapppaa,119.4250763,68.35667435,137.6732814
ABprapppap,137.4878774,65.15567415,152.2063423
ABprapppp,151.0397013,65.30320555,164.5991647
ABprappppp,159.1501843,57.87339435,169.3992684
ABprp,95.4460773,55.98197675,110.7177154
ABprpa,76.3515189,60.74628045,97.64000415
ABprpaa,75.3595221,71.82366465,104.1678833
ABprpaaa,22.1372972,76.14628625,79.38107604
ABprpaaaa,-49.0429918,75.22491835,89.87679006
ABprpaaaaa,-75.0838199,74.63855115,105.9355065
ABprpaaaap,-49.267541,78.05710465,92.37714585
ABprpaaap,-14.2436665,78.66800335,80.03603475
ABprpaaapa,-43.3792999,78.90879905,90.1325024
ABprpaaapp,-20.0569533,79.82838485,82.39875043
ABprpaap,60.9745345,76.00482645,97.51005908
ABprpaapa,-13.022298,79.76050835,80.90926633
ABprpaapaa,-63.1605124,81.03173915,102.8155811
ABprpaapap,-38.3300015,84.73444465,93.09008711
ABprpaapp,21.7418327,79.64372555,82.64799577
ABprpaappa,-16.7633843,83.78266715,85.5409204
ABprpaappp,4.7646758,84.08327925,84.31254532
ABprpap,111.604831,61.48339855,127.4744939
ABprpapa,65.3590342,69.21659985,95.26378472
ABprpapaa,3.0522047,70.16248925,70.31367546
ABprpapaaa,-16.966767,70.29380245,72.38943628
ABprpapaap,8.5302716,72.03736215,72.61764451
ABprpapap,24.8551108,67.72955565,72.22832629
ABprpapapa,19.8181295,67.96719225,70.86758806
ABprpapapp,47.0765961,66.06513075,81.18624078
ABprpapp,102.7343102,62.90382095,120.5180323
ABprpappa,32.2265597,63.87693005,71.61936726
ABprpappaa,-3.1585902,60.56752545,60.73232023
ABprpappap,25.8706017,57.09281945,62.75933468
ABprpappp,64.9034999,63.88683865,91.13618442
ABprpapppa,53.2469102,58.85043125,79.41927427
ABprpapppp,85.3790621,55.11636455,101.6723062
ABprpp,137.4811048,60.10992245,150.1033608
ABprppa,144.1974711,70.54664065,160.5798186
ABprppaa,91.7902252,75.74836725,119.0696765
ABprppaaa,22.504136,74.92906895,78.32376635
ABprppaaaa,-11.5540626,74.13152515,75.12321338
ABprppaap,51.6586226,72.71545705,89.27141733
ABprppaapa,32.7527635,71.75847735,78.96052437
ABprppaapp,59.4008099,69.44620205,91.45375575
ABprppap,121.5759048,70.67594975,140.6804053
ABprppapa,64.5303979,73.99645935,98.2527061
ABprppapaa,25.4778481,74.90026255,79.21186776
ABprppapap,53.7743719,74.33913955,91.83067028
ABprppapp,95.2772125,72.46106715,119.7631031
ABprppappa,72.902942,73.78400625,103.7950751
ABprppappp,100.4422557,72.75520375,124.0858061
ABprppp,155.4395137,58.26731125,166.0515232
ABprpppa,146.9085026,66.89590375,161.4684013
ABprpppaa,103.083642,72.06827075,125.8334635
ABprpppaaa,85.1372536,69.41547175,109.9152988
ABprpppaap,114.4593246,66.96079575,132.6651601
ABprpppap,131.6256603,67.43190485,147.9407044
ABprpppapa,127.4207557,62.90249045,142.1538146
ABprpppp,146.8288066,57.10426795,157.5928245
ABprppppa,94.0955158,65.56478095,114.7428765
ABprppppaa,70.0127295,66.42220465,96.57121234
ABprppppap,95.7624605,64.35445485,115.432308
ABprppppp,116.0438637,60.50009155,130.919301
ABprpppppa,107.2376067,57.57033695,121.7641394
ABprpppppp,131.3584201,53.90772685,142.0365226
C,107.2848199,62.55244085,124.2745991
Ca,49.816121,59.70154935,77.88433255
Caa,30.0146078,64.04817855,70.8806922
Caaa,35.1469764,60.52942865,70.14695548
Caaaa,95.1750383,52.35926165,108.7367619
Caaap,138.983146,49.00937435,147.4514472
Caap,97.3552955,51.76386775,110.3723187
Caapa,165.2064373,49.92814905,172.6427806
Caapp,163.0702595,46.62401495,169.6575123
Cap,88.0105524,53.99167995,103.3646342
Capa,92.240341,43.16862735,101.9540675
Capaa,81.9302151,44.32858685,93.2283625
Capaaa,54.8550668,38.70045365,67.24747156
Capaap,77.593314,43.51322665,89.03171042
Capap,114.1526055,46.50767175,123.3203162
Capapa,90.4116813,39.58736445,98.77798928
Capapp,107.9130467,43.16129005,116.2740672
Capp,126.4003943,43.91536355,133.9084317
Cappa,123.8363917,41.61487825,130.707311
Cappaa,91.1748033,40.66614975,99.92185831
Cappap,117.277946,40.45966825,124.124075
Cappp,142.0654468,46.01192965,149.3855498
Capppa,133.4554369,41.84525855,139.9227652
Capppp,131.3288232,47.32705975,139.6396718
Cp,120.810888,64.52144055,137.0412513
Cpa,113.7161825,69.09115725,133.1481354
Cpaa,108.9669477,70.36787405,129.8018692
Cpaaa,94.2375877,63.96746815,113.9977944
Cpaap,146.9085816,61.39152735,159.2914932
Cpap,142.4522911,57.03151965,153.5279675
Cpapa,171.1250902,59.52991085,181.23669
Cpapp,175.3040258,51.71690165,182.8226893
Cpp,157.5105011,54.02040125,166.5898445
Cppa,165.5141734,57.34223665,175.2191017
Cppaa,94.7523423,58.70028075,111.5191161
Cppaaa,67.391424,66.26709945,94.58780185
Cppaap,87.9599927,59.41429335,106.2017641
Cppap,122.3850518,54.63978945,134.0793568
Cppapa,98.749715,64.49770855,118.0144414
Cppapp,114.8316561,57.24672795,128.3586583
Cppp,155.014218,45.63018765,161.6592515
Cpppa,141.292106,59.99260655,153.5544626
Cpppaa,96.6217152,69.02780225,118.8248119
Cpppap,127.3511237,63.97715575,142.574179
Cpppp,150.574139,53.18406795,159.7407474
Cppppa,143.414418,61.36987725,156.0459284
Cppppp,141.30139,53.68486345,151.2004924
D,159.3729049,48.36578785,166.6178797
Da,114.5995426,34.41629535,119.7539412
Daa,62.5625939,39.13226945,73.88560352
Daaa,20.325365,32.62824125,38.65535904
Daap,45.4945022,34.92097035,57.46491643
Dap,108.172577,42.36888865,116.2407058
Dapa,51.448742,34.33246885,61.99042939
Dapp,82.4270533,40.04741675,91.73014232
Dappa,56.8678955,24.52609875,62.17706876
Dappp,104.2562355,27.17206645,107.856945
Dp,143.7515238,46.11725435,151.0227231
Dpa,84.9055511,58.78225055,103.3276159
Dpaa,24.8154145,76.82764565,80.82713359
Dpap,46.1499669,68.45358595,82.63341617
Dpp,122.7859164,53.35794545,133.9316635
Dppa,55.6465195,75.05319315,93.51862962
Dppp,86.8688419,68.73431195,110.8479685
Dpppa,54.7036941,83.65776985,100.0870154
Dpppp,101.2461272,80.59697515,129.4900584
E,85.2339657,41.06783795,94.7141107
Ea,44.1120604,40.88384305,60.28409701
Eal,14.6400601,43.32175965,45.91484415
Eala,-30.4705115,50.31836155,58.95766079
Ealaa,-38.8863846,51.31500065,64.52175166
Ealap,10.4184477,52.15265655,53.34617767
