,v,x,y
ABplaapa,-9605.413427,-103.6894743,46.31817015
ABplaapaa,-7488.81099,-94.8207767,39.48929365
ABplaapaaa,-8840.404931,-116.1520965,38.05529645
ABplaapaap,-6417.138981,-88.0768155,36.42921775
ABplaapap,-4430.374961,-56.8295548,38.97949735
ABplaapapa,-4586.119088,-73.2355836,31.31072945
ABplaapapp,-3276.564189,-48.758219,33.60012175
ABplaapp,-5008.002003,-55.0462423,45.48904515
ABplaappa,-2399.480489,-34.3132505,34.96434255
ABplaappp,267.346597,3.8739589,34.50560575
ABplap,-2868.136529,-24.6570607,58.16055215
ABplapa,-6466.172429,-50.5207818,63.99517385
ABplapaa,-6454.606596,-55.3513733,58.30574935
ABplapaaa,-1195.456096,-14.2829614,41.84902775
ABplapaaaa,-458.4339557,-5.6738441,40.39888545
ABplapaaap,1518.608547,19.6159481,38.70851765
ABplapaap,1912.928046,22.7088785,42.11850545
ABplapaapa,2331.942922,33.0314079,35.29887265
